length	count
2	10231
3	11878
4	14475
5	16577
6	19419
7	20344
8	20550
9	20062
10	19820
11	18621
12	17823
13	16589
14	15996
15	15080
16	14216
17	13352
18	12912
19	11974
20	11316
21	10556
22	10040
23	9656
24	8951
25	8583
26	8217
27	7706
28	7368
29	7051
30	6620
31	6377
32	6000
33	5712
34	5500
35	5319
36	4993
37	4841
38	4495
39	4496
40	4224
41	4123
42	3886
43	3511
44	3539
45	3467
46	3240
47	3138
48	2971
49	2734
50	2641
51	2497
52	2285
53	2131
54	1825
55	1719
56	1512
57	1228
58	1013
59	731
60	555
61	470
62	273
63	233
64	144
65	127
66	68
67	32
68	18
69	16
70	13
71	7
72	4
73	3
74	1
75	1
76	3
80	3
82	1
83	1
84	1
85	1
88	1
90	1
96	2
105	2
107	2
